g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2000,5,34005700102,34,34,1085.0,2.0,28.0,10.0,4.0,1075.0,2.0,331.0,0.0,1075.0,,,,1039.0,,,,2760.0,12.0,49.0,21.0,7.0,0.0,18.0,2653.0,1138.0,1085.0,872.0,213.0,53.0
2000,5,34005700103,34,34,1209.0,24.0,133.0,27.0,12.0,1182.0,2.0,578.0,1.0,1182.0,,,,1013.0,,,,2467.0,67.0,271.0,31.0,5.0,1.0,27.0,2065.0,1308.0,1209.0,788.0,421.0,99.0
2000,5,34005700104,34,34,710.0,5.0,248.0,27.0,15.0,683.0,2.0,243.0,1.0,683.0,,,,415.0,,,,1864.0,20.0,697.0,56.0,9.0,2.0,55.0,1025.0,773.0,710.0,444.0,266.0,63.0
2000,5,34005700200,34,34,1066.0,4.0,18.0,11.0,10.0,1055.0,2.0,320.0,0.0,1055.0,,,,1021.0,,,,2759.0,23.0,49.0,32.0,3.0,0.0,8.0,2644.0,1113.0,1066.0,813.0,253.0,47.0
2000,5,34005700303,34,34,876.0,5.0,180.0,10.0,11.0,866.0,2.0,237.0,0.0,866.0,,,,669.0,,,,2411.0,22.0,477.0,41.0,9.0,1.0,28.0,1833.0,902.0,876.0,807.0,69.0,26.0
2000,5,34005700304,34,34,874.0,9.0,17.0,6.0,10.0,868.0,3.0,186.0,0.0,868.0,,,,830.0,,,,2390.0,33.0,49.0,35.0,11.0,0.0,14.0,2248.0,894.0,874.0,839.0,35.0,20.0
2000,5,34005700305,34,34,1675.7215343593302,31.2695357799832,46.1946647299879,21.1647163099897,15.0598968399963,1654.5568180493399,1.0,271.50069306984403,0.0,1654.5568180493399,,,,1565.0327206993697,,,,4935.14,124.7936,152.584,42.299479999999996,2.014974,0.0,17.11979,4596.3279999999995,1697.99107013932,1675.7215343593302,1615.5685201894,60.153014169928205,22.2695357799832
2000,5,34005700306,34,34,886.0,14.0,11.0,9.0,2.0,877.0,1.0,128.0,0.0,877.0,,,,849.0,,,,2622.0,50.0,36.0,18.0,2.0,0.0,9.0,2507.0,895.0,886.0,866.0,20.0,9.0
2000,5,34005700307,34,34,756.0,12.0,11.0,7.0,4.0,749.0,0.0,94.0,0.0,749.0,,,,722.0,,,,2266.0,45.0,28.0,12.0,0.0,0.0,4.0,2177.0,769.0,756.0,746.0,10.0,13.0
2000,5,34005700401,34,34,783.0,1.0,3.0,4.0,4.0,779.0,0.0,219.0,0.0,779.0,,,,771.0,,,,2051.0,9.0,7.0,10.0,1.0,1.0,10.0,2013.0,807.0,783.0,708.0,75.0,24.0
