Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"1","1","140","3400700010000","34","007",4042,4042,4042,0,0,1128,1128,1087,41,40,1,1087,445,642
"2","2","140","3400700020000","34","007",4428,4428,4424,4,0,1142,1142,1125,17,16,1,1125,434,691
"3","3","140","3400700030000","34","007",4003,4003,4003,0,0,1084,1084,1058,26,25,1,1058,444,614
"4","4","140","3400700040000","34","007",4446,4446,4185,261,0,1277,1277,1251,26,25,1,1251,327,924
"5","5","140","3400700050000","34","007",6058,6058,5904,152,2,1697,1697,1638,59,57,2,1638,549,1089
"6","6","140","3400700060000","34","007",6296,6296,6293,2,1,1792,1792,1755,37,35,2,1755,735,1020
"7","7","140","3400700070000","34","007",6463,6463,6439,23,1,1939,1939,1864,75,75,0,1864,654,1210
"8","8","140","3400700080000","34","007",4577,4577,4574,0,3,1275,1275,1216,59,59,0,1216,427,789
"9","9","140","3400700090000","34","007",5779,5779,5768,0,11,1656,1656,1592,64,63,1,1592,492,1100
"10","10","140","3400700100000","34","007",5556,5556,3985,1565,6,1532,1532,1456,76,76,0,1456,382,1074
"11","11","140","3400700110000","34","007",5703,5703,5016,678,9,1706,1706,1608,98,96,2,1608,365,1243
"12","12","140","3400700120000","34","007",5181,5181,4295,881,5,1180,1180,1139,41,41,0,1139,513,626
"13","13","140","3400700130000","34","007",3538,3538,1936,1597,5,844,844,810,34,34,0,810,176,634
"14","14","140","3400700140000","34","007",5478,5478,5247,231,0,1305,1305,1281,24,22,2,1281,577,704
"15","15","140","3400700150000","34","007",4282,4282,2478,1802,2,1143,1143,1118,25,25,0,1118,354,764
"16","16","140","3400700160000","34","007",4106,4106,2412,1688,6,1131,1131,1101,30,29,1,1101,379,722
"17","17","140","3400700170000","34","007",4929,4929,3272,1650,7,1270,1270,1244,26,26,0,1244,371,873
"18","18","140","3400700180000","34","007",5467,5467,3930,1533,4,1321,1321,1282,39,38,1,1282,497,785
"19","19","140","3400700190000","34","007",4031,4031,3685,345,1,963,963,945,18,17,1,945,533,412
"20","20","140","3400700200000","34","007",5329,5329,5303,26,0,1457,1457,1394,63,57,6,1394,652,742
"21","21","140","3400700210000","34","007",4357,4357,4354,3,0,1052,1052,1033,19,19,0,1033,577,456
"22","22","140","3400700220000","34","007",4393,4393,4387,6,0,1062,1062,1038,24,24,0,1038,529,509
"23","23","140","3400700230000","34","007",2958,2958,2958,0,0,732,732,711,21,19,2,711,285,426
"24","24","140","3400700240000","34","007",6136,6136,6105,31,0,1752,1752,1732,20,20,0,1732,657,1075
"1A","1-A","140","4210100101000","42","101",582,582,581,1,0,159,159,135,24,24,0,135,32,103
"1B","1-B","140","4210100102000","42","101",16378,16378,16172,199,7,4182,4182,4034,148,144,4,4034,1504,2530
"1C","1-C","140","4210100103000","42","101",19667,19667,19415,251,1,4595,4595,4462,133,121,12,4462,2318,2144
"2A","2-A","140","4210100201000","42","101",9818,9818,8147,1669,2,2495,2495,2399,96,95,1,2399,666,1733
"2B","2-B","140","4210100202000","42","101",10876,10876,10170,703,3,2633,2633,2518,115,111,4,2518,952,1566
"2C","2-C","140","4210100203000","42","101",1534,1534,824,710,0,410,410,388,22,22,0,388,84,304
"3A","3-A","140","4210100301000","42","101",10776,10776,9520,1253,3,3004,3004,2785,219,212,7,2785,746,2039
"3B","3-B","140","4210100302000","42","101",2274,2274,967,1306,1,857,857,824,33,33,0,824,120,704
"4A","4-A","140","4210100401000","42","101",8588,8588,7219,1367,2,2457,2457,2296,161,161,0,2296,495,1801
"4B","4-B","140","4210100402000","42","101",2175,2175,386,1787,2,1011,1011,959,52,52,0,959,26,933
"5A","5-A","140","4210100501000","42","101",7142,7142,6371,759,12,1829,1829,1740,89,89,0,1740,317,1423
"6A","6-A","140","4210100601000","42","101",835,835,627,207,1,257,257,234,23,23,0,234,27,207
"7A","7-A","140","4210100701000","42","101",5015,5015,4506,493,16,1744,1744,1555,189,185,4,1555,107,1448
"7B","7-B","140","4210100702000","42","101",5412,5412,1493,3906,13,2254,2254,2062,192,190,2,2062,86,1976
