Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T023_001,SE_T038_001,SE_T045_001,SE_T046_001,SE_T046_002,SE_T046_003,SE_T046_004,SE_T046_005,SE_T051_001,SE_T051_002,SE_T051_003
"B0001","1","140","42017B0010000","42","017",5269,5269,5170,91,8,32120,1379,1580,1580,1388,192,26,166,1388,1088,300
"B0002","2","140","42017B0020000","42","017",6096,6096,5803,293,0,32500,1659,1824,1824,1662,162,21,141,1662,1384,278
"B0003","3","140","42017B0030000","42","017",7248,7248,7244,2,2,32930,1960,2161,2161,1959,202,41,161,1959,1647,312
"B0004","4","140","42017B0040000","42","017",4936,4936,4729,206,1,32180,1345,1402,1402,1355,47,24,23,1355,637,718
"B0005","5","140","42017B0050000","42","017",3083,3083,3082,0,1,34250,873,881,881,867,14,2,12,867,644,223
"B0006","6","140","42017B0060000","42","017",5793,5793,5607,183,3,30290,1576,1605,1605,1580,25,7,18,1580,958,622
"B0007","7","140","42017B0070000","42","017",3834,3834,3727,106,1,32500,959,983,983,966,17,12,5,966,707,259
"B0008","8","140","42017B0080000","42","017",2646,2646,2617,29,0,24850,670,775,775,669,106,15,91,669,473,196
"B0009","9","140","42017B0090000","42","017",2341,2341,2341,0,0,33610,656,827,827,654,173,16,157,654,545,109
"B0010","10","140","42017B0100000","42","017",860,860,860,0,0,0,254,282,282,254,28,7,21,254,154,100
"B0011","11","140","42017B0110000","42","017",1100,1100,1100,0,0,0,295,308,308,295,13,4,9,295,212,83
"B0012","12","140","42017B0120000","42","017",781,781,745,36,0,0,151,162,162,152,10,1,9,152,116,36
"B0013","13","140","42017B0130000","42","017",1579,1579,1392,185,2,27290,439,444,444,436,8,3,5,436,271,165
"B0014","14","140","42017B0140000","42","017",3562,3562,3556,6,0,33880,1024,1194,1194,1022,172,13,159,1022,900,122
"B0015","15","140","42017B0150000","42","017",2027,2027,2010,11,6,40250,603,623,623,601,22,6,16,601,505,96
"B0016","16","140","42017B0160000","42","017",7127,7127,7081,33,13,30990,1767,1824,1824,1761,63,8,55,1761,464,1297
"B0017","17","140","42017B0170000","42","017",358,358,358,0,0,0,107,108,108,106,2,1,1,106,75,31
"B0018","18","140","42017B0180000","42","017",2336,2336,2316,18,2,31330,655,731,731,653,78,8,70,653,515,138
"B0019","19","140","42017B0190000","42","017",828,828,818,10,0,0,225,240,240,224,16,5,11,224,163,61
"B0020","20","140","42017B0200000","42","017",1367,1367,1363,4,0,0,388,427,427,390,37,4,33,390,307,83
"B0021","21","140","42017B0210000","42","017",3688,3688,3678,6,4,26390,983,1046,1046,980,66,10,56,980,755,225
"B0022","22","140","42017B0220000","42","017",384,384,384,0,0,0,114,119,119,114,5,5,0,114,73,41
"B0023","23","140","42017B0230000","42","017",1626,1626,1565,61,0,0,465,535,535,464,71,12,59,464,331,133
"B0024","24","140","42017B0240000","42","017",4358,4358,4354,4,0,32240,1316,1418,1418,1317,101,8,93,1317,935,382
"B0025","25","140","42017B0250000","42","017",2373,2373,2371,2,0,32320,719,751,751,730,21,8,13,730,508,222
"B0026","26","140","42017B0260000","42","017",528,528,528,0,0,0,146,150,150,147,3,0,3,147,103,44
"B0027","27","140","42017B0270000","42","017",2020,2020,1999,21,0,22670,537,687,687,536,151,11,140,536,415,121
"B0028","28","140","42017B0280000","42","017",2865,2865,2865,0,0,24260,767,927,927,770,157,16,141,770,589,181
"B0029","29","140","42017B0290000","42","017",838,838,838,0,0,0,239,243,243,238,5,0,5,238,146,92
"B0030","30","140","42017B0300000","42","017",3050,3050,3041,9,0,30000,853,909,909,860,49,3,46,860,636,224
"B0031","31","140","42017B0310000","42","017",5673,5673,5662,11,0,30380,1783,1813,1813,1788,25,14,11,1788,1137,651
"B0032","32","140","42017B0320000","42","017",762,762,760,2,0,0,215,216,216,213,3,2,1,213,139,74
