Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T033_008,SE_T033_009,SE_T089_001,SE_T089_002,SE_T089_003,SE_T089_004,SE_T089_005,SE_T089_006,SE_T089_007,SE_T089_008,SE_T089_009,SE_T089_010,SE_T089_011,SE_T089_012,SE_T089_013,SE_T089_014,SE_T105_001,SE_T111_001,SE_T111_002,SE_T111_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T116_004,SE_T116_005,SE_T116_006,SE_T116_007,SE_T116_008,SE_T116_009,SE_T116_010,SE_T116_011
"Census Tract BJ000100","Census Tract BJ000100, Burlington County, New Jersey","140","340050BJ000100","34","0BJ0001000","340","0050","G3400050BJ0001","3400050BJ0001","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,7036,7036,6345,682,9,1790,1715,552,1024,899,746,380,2710,2318,1687,1623,513,965,841,699,306,2447,2158,103,92,39,59,58,47,74,263,160,2142,98,79,125,127,216,258,290,218,198,132,361,40,0,2131,2073,1715,358,2103,2073,1715,1573,142,358,329,29,30,20,10
"Census Tract BJ000200","Census Tract BJ000200, Burlington County, New Jersey","140","340050BJ000200","34","0BJ0002000","340","0050","G3400050BJ0002","3400050BJ0002","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,3324,3324,3218,101,5,798,784,241,455,380,325,233,1190,1143,779,765,239,447,372,320,225,1139,1098,19,19,2,8,8,5,8,51,45,1058,45,34,73,71,79,130,147,78,69,51,166,82,33,1041,1003,753,250,1027,1003,753,727,26,250,241,9,24,19,5
"Census Tract BJ000300","Census Tract BJ000300, Burlington County, New Jersey","140","340050BJ000300","34","0BJ0003000","340","0050","G3400050BJ0003","3400050BJ0003","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,8302,8302,7499,775,28,2190,2123,931,1492,1397,1221,260,3612,3333,2037,1985,897,1411,1335,1170,196,3325,3127,153,138,34,81,62,51,64,287,206,2296,67,58,73,43,176,219,191,268,203,202,529,242,25,2408,2234,2037,197,2320,2234,2037,1867,170,197,141,56,86,7,79
"Census Tract BJ000400","Census Tract BJ000400, Burlington County, New Jersey","140","340050BJ000400","34","0BJ0004000","340","0050","G3400050BJ0004","3400050BJ0004","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,12947,12947,12923,2,22,3252,3165,1150,1993,1846,1552,406,4804,4542,3237,3150,1150,1989,1846,1552,403,4795,4533,15,15,0,4,0,0,3,9,9,3789,181,157,176,186,328,641,520,481,397,269,397,52,4,3698,3632,3363,269,3661,3632,3363,3355,8,269,269,0,29,13,16
"Census Tract BJ000500","Census Tract BJ000500, Burlington County, New Jersey","140","340050BJ000500","34","0BJ0005000","340","0050","G3400050BJ0005","3400050BJ0005","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,12497,12497,11594,878,25,3147,3069,977,1957,1511,1342,608,4837,4376,2973,2904,916,1846,1436,1276,535,4497,4104,174,165,61,111,75,66,73,340,272,3781,228,158,127,192,210,366,353,247,276,228,817,393,186,3796,3613,2960,653,3687,3613,2960,2766,194,653,600,53,74,35,39
"Census Tract BJ000600","Census Tract BJ000600, Burlington County, New Jersey","140","340050BJ000600","34","0BJ0006000","340","0050","G3400050BJ0006","3400050BJ0006","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,5327,5327,5277,50,0,1287,1257,499,905,809,740,148,2100,1953,1272,1242,495,898,809,740,140,2085,1942,15,15,4,7,0,0,8,15,11,1490,92,68,56,69,163,176,175,156,132,99,254,45,5,1480,1435,1272,163,1459,1435,1268,1263,5,167,156,11,24,7,17
"Census Tract BJ000700","Census Tract BJ000700, Burlington County, New Jersey","140","340050BJ000700","34","0BJ0007000","340","0050","G3400050BJ0007","3400050BJ0007","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,8474,8474,8291,179,4,2032,1973,668,1226,1115,937,559,2854,2681,1999,1940,657,1205,1088,916,534,2785,2629,33,33,11,21,27,21,25,69,52,2704,191,199,195,191,268,393,377,282,186,134,253,27,8,2627,2553,1921,632,2603,2553,1921,1893,28,632,620,12,50,26,24
"Census Tract BJ000800","Census Tract BJ000800, Burlington County, New Jersey","140","340050BJ000800","34","0BJ0008000","340","0050","G3400050BJ0008","3400050BJ0008","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,4011,4011,4007,4,0,1001,986,364,625,536,460,148,1485,1336,1001,986,364,625,536,460,148,1485,1336,0,0,0,0,0,0,0,0,0,1183,49,81,70,56,123,138,161,136,107,40,179,28,15,1189,1144,960,184,1159,1144,959,957,2,185,185,0,15,4,11
"Census Tract BJ000900","Census Tract BJ000900, Burlington County, New Jersey","140","340050BJ000900","34","0BJ0009000","340","0050","G3400050BJ0009","3400050BJ0009","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,3400,3400,2859,541,0,879,823,340,583,501,431,266,1451,1188,793,746,302,516,458,388,209,1229,1042,86,77,38,67,43,43,57,222,146,1058,102,75,77,71,120,149,171,82,60,59,67,25,0,1036,1003,681,322,1019,1003,681,612,69,322,251,71,16,12,4
"Census Tract BJ001000","Census Tract BJ001000, Burlington County, New Jersey","140","340050BJ001000","34","0BJ0010000","340","0050","G3400050BJ0010","3400050BJ0010","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,2866,2866,2838,27,1,705,682,307,494,470,395,84,1166,1118,702,679,307,494,467,395,74,1166,1118,3,3,0,0,3,0,10,0,0,806,29,17,38,16,75,55,89,98,96,61,169,41,22,886,788,666,122,816,788,658,653,5,130,127,3,28,13,15
