Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T018_001,SE_T018_002,SE_T018_003,SE_T018_004,SE_T018_005,SE_T018_006,SE_T018_007,SE_T018_008,SE_T018_009,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T021_001,SE_T021_002,SE_T021_003,SE_T022_001,SE_T022_002,SE_T022_003,SE_T094_001,SE_T155_001,SE_T156_001,SE_T156_002,SE_T156_003,SE_T157_001,SE_T157_002,SE_T157_003,SE_T158_001,SE_T158_002,SE_T158_003,SE_T158_004
"34005700102","Census Tract 7001.02","Census Tract 7001.02, Burlington County, New Jersey","00","34","005","700102",2760,2760,2653,49,7,12,0,18,21,1085,754,615,139,33,106,331,141,190,1085,1043,28,2,2,0,6,4,1085,10,1075,1085,1039,46,55868.2612695492,1138,1085,872,213,1138,1085,53,53,23,8,22
"34005700103","Census Tract 7001.03","Census Tract 7001.03, Burlington County, New Jersey","00","34","005","700103",2467,2467,2065,271,5,67,1,27,31,1209,631,460,171,45,126,578,252,326,1209,1028,133,2,24,1,9,12,1209,27,1182,1209,1013,196,58646.3815789474,1308,1209,788,421,1308,1209,99,99,45,34,20
"34005700104","Census Tract 7001.04","Census Tract 7001.04, Burlington County, New Jersey","00","34","005","700104",1864,1864,1025,697,9,20,2,55,56,710,467,279,188,45,143,243,126,117,710,424,248,2,5,1,15,15,710,27,683,710,415,295,46361.6477272727,773,710,444,266,773,710,63,63,22,17,24
"34005700200","Census Tract 7002","Census Tract 7002, Burlington County, New Jersey","00","34","005","700200",2759,2759,2644,49,3,23,0,8,32,1066,746,626,120,30,90,320,138,182,1066,1029,18,2,4,0,3,10,1066,11,1055,1066,1021,45,75450.0467726848,1113,1066,813,253,1113,1066,47,47,12,12,23
"34005700303","Census Tract 7003.03","Census Tract 7003.03, Burlington County, New Jersey","00","34","005","700303",2411,2411,1833,477,9,22,1,28,41,876,639,506,133,36,97,237,92,145,876,673,180,2,5,0,5,11,876,10,866,876,669,207,80149.4382022472,902,876,807,69,902,876,26,26,1,12,13
"34005700304","Census Tract 7003.04","Census Tract 7003.04, Burlington County, New Jersey","00","34","005","700304",2390,2390,2248,49,11,33,0,14,35,874,688,576,112,22,90,186,85,101,874,832,17,3,9,0,3,10,874,6,868,874,830,44,72122.0554272517,894,874,839,35,894,874,20,20,2,7,11
"34005700305","Census Tract 7003.05","Census Tract 7003.05, Burlington County, New Jersey","00","34","005","700305",4935.14,4935.14,4596.328,152.584,2.014974,124.7936,0,17.11979,42.29948,1675.72153435933,1404.22084128949,1254.02290448956,150.197936799925,38.2545615699841,111.943375229941,271.500693069844,104.003272069938,167.497420999907,1675.72153435933,1576.15251437937,46.1946647299879,1,31.2695357799832,0,6.0449226299972,15.0598968399963,1675.72153435933,21.1647163099897,1654.55681804934,1675.72153435933,1565.03272069937,110.68881365996,79709.0205763728,1697.99107013932,1675.72153435933,1615.5685201894,60.1530141699282,1697.99107013932,1675.72153435933,22.2695357799832,22.2695357799832,1.07487104999534,7.07487104999534,14.1197936799925
"34005700306","Census Tract 7003.06","Census Tract 7003.06, Burlington County, New Jersey","00","34","005","700306",2622,2622,2507,36,2,50,0,9,18,886,758,654,104,27,77,128,50,78,886,856,11,1,14,0,2,2,886,9,877,886,849,37,81305.7803468208,895,886,866,20,895,886,9,9,1,3,5
"34005700307","Census Tract 7003.07","Census Tract 7003.07, Burlington County, New Jersey","00","34","005","700307",2266,2266,2177,28,0,45,0,4,12,756,662,584,78,18,60,94,34,60,756,728,11,0,12,0,1,4,756,7,749,756,722,34,88003.2637075718,769,756,746,10,769,756,13,13,1,4,8
"34005700401","Census Tract 7004.01","Census Tract 7004.01, Burlington County, New Jersey","00","34","005","700401",2051,2051,2013,7,1,9,1,10,10,783,564,432,132,45,87,219,85,134,783,772,3,0,1,0,3,4,783,4,779,783,771,12,63924.3386243386,807,783,708,75,807,783,24,24,4,5,15
"34005700402","Census Tract 7004.02","Census Tract 7004.02, Burlington County, New Jersey","00","34","005","700402",3452,3452,3348,41,6,18,0,11,28,1283,940,754,186,57,129,343,141,202,1283,1261,6,0,6,0,2,8,1283,18,1265,1283,1247,36,55133.0316742081,1313,1283,1195,88,1313,1283,30,30,1,10,19
"34005700403","Census Tract 7004.03","Census Tract 7004.03, Burlington County, New Jersey","00","34","005","700403",4248,4248,4047,48,2,65,4,43,39,1604,1082,817,265,84,181,522,225,297,1604,1556,6,2,13,1,13,13,1604,27,1577,1604,1544,60,53972.7959697733,1651,1604,1272,332,1651,1604,47,47,10,14,23
"34005700405","Census Tract 7004.05","Census Tract 7004.05, Burlington County, New Jersey","00","34","005","700405",1741,1741,1693,16,0,11,0,2,19,684,470,355,115,24,91,214,95,119,684,670,5,0,3,0,0,6,684,6,678,684,665,19,62872.4349157734,703,684,554,130,703,684,19,19,8,6,5
"34005700407","Census Tract 7004.07","Census Tract 7004.07, Burlington County, New Jersey","00","34","005","700407",5231.357,5231.357,3286.922,871.5481,14.47983,731.5764,2.068548,177.2056,147.5564,2832.53133378227,1145.9754325088,787.427162409774,358.548270099021,117.217703686219,241.330566412803,1686.55590127347,901.19728657581,785.358614697664,2832.53133378227,1963.05177879214,448.185337623777,7.58467494440238,295.112806927656,0.68951590403658,63.4354631713654,54.4717564188898,2832.53133378227,158.588657928413,2673.94267585386,2832.53133378227,1884.44696573197,948.0843680503,48752.6879104842,3126.95462480589,2832.53133378227,335.794245265814,2496.73708851646,3126.95462480589,2832.53133378227,294.42329102362,294.42329102362,220.645089291706,7.58467494440238,66.1935267875117
"34005700408","Census Tract 7004.08","Census Tract 7004.08, Burlington County, New Jersey","00","34","005","700408",2355.729,2355.729,1480.155,392.4564,6.520205,329.4264,0.9314523,79.79465,66.44488,1275.49458643784,516.046349844851,354.591809317595,161.454540527256,52.7832331892071,108.671307338048,759.448236592989,405.804626211517,353.643610381472,1275.49458643784,883.972189604164,201.815599251649,3.41532505559762,132.887973801865,0.31048409596342,28.5645758651107,24.5284387634905,1275.49458643784,71.4116153269191,1204.08297111092,1275.49458643784,848.576768445477,426.917817992363,48753.4754374889,1408.0724665085,1275.49458643784,151.230581932966,1124.26400450487,1408.0724665085,1275.49458643784,132.577880070662,132.577880070662,99.3551449271508,3.41575445683439,29.8069806866772
"34005700501","Census Tract 7005.01","Census Tract 7005.01, Burlington County, New Jersey","00","34","005","700501",5387,5387,4901,194,12,148,0,30,102,2174,1511,1230,281,63,218,663,255,408,2174,2023,74,4,44,0,9,20,2174,28,2146,2174,2006,168,72539.8441082072,2259,2174,1656,518,2259,2174,85,85,37,17,31
"34005700502","Census Tract 7005.02","Census Tract 7005.02, Burlington County, New Jersey","00","34","005","700502",1916.86,1916.86,1797.672,38.41601,0.9850258,52.20637,0,7.880206,19.70052,705.278465640668,540.779158710513,461.977095510437,78.8020632000746,16.7454384300159,62.0566247700588,164.499306930156,65.9967279300626,98.5025790000933,705.278465640668,667.847485620633,12.8053352700121,0,17.7304642200168,0,2.9550773700028,3.94010316000373,705.278465640668,10.8352836900103,694.443181950658,705.278465640668,659.967279300625,45.3111863400429,93413.1868131868,723.008929860685,705.278465640668,629.431479810596,75.8469858300718,723.008929860685,705.278465640668,17.7304642200168,17.7304642200168,4.92512895000467,4.92512895000467,7.88020632000747
"34005700503","Census Tract 7005.03","Census Tract 7005.03, Burlington County, New Jersey","00","34","005","700503",3691.109,3691.109,2938.032,596.0477,11.00106,56.01519,1,29.00318,60.00954,1332.40090723102,1055.28469711736,851.231007338404,204.053689778956,30.0084773335194,174.045212445437,277.116210113662,94.0508640011165,183.065346112545,1332.40090723102,1052.37370911931,236.018367555959,5.00035322222998,19.0038854445297,1,9.00105966668993,10.0035322222998,1332.40090723102,23.0049451112197,1309.3959621198,1332.40090723102,1043.36911723032,289.0317900007,120675.516783766,1369.41962800921,1332.40090723102,1113.2910551175,219.109852113522,1369.41962800921,1332.40090723102,37.0187207781887,37.0187207781887,7.00883055574939,10.0038854445297,20.0060047779095
"34005700504","Census Tract 7005.04","Census Tract 7005.04, Burlington County, New Jersey","00","34","005","700504",3137.891,3137.891,2920.968,134.9523,2.99894,42.98481,0,8.996821,26.99046,1134.59909276898,805.715302882639,653.768992661595,151.946310221044,23.9915226664806,127.954787554563,328.883789886338,143.949135998883,184.934653887454,1134.59909276898,1057.62629088069,51.9816324440412,0.999646777770024,10.9961145554703,0,2.99894033331007,9.99646777770024,1134.59909276898,13.9950548887803,1120.6040378802,1134.59909276898,1044.63088276968,89.9682099992999,83627.1201413425,1187.58037199079,1134.59909276898,823.7089448825,310.890147886477,1187.58037199079,1134.59909276898,52.9812792218113,52.9812792218113,24.9911694442506,10.9961145554703,16.9939952220904
