Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 7001.02,"Census Tract 7001.02, Burlington County, New Jersey",34005700102,140,0,34,5,19,,700102,2638,2638,2420,109,4,32,3,24,46,1052,983,45,1,7,2,6,8,1052,17,1035,1052,974,78,1118,1052,877,175,1118,1052,66,315,61
Census Tract 7001.03,"Census Tract 7001.03, Burlington County, New Jersey",34005700103,140,0,34,5,19,,700103,2839,2839,2343,303,7,76,3,40,67,1401,1190,141,5,33,2,16,14,1401,56,1345,1401,1156,245,1519,1401,1026,375,1519,1401,118,672,154
Census Tract 7001.04,"Census Tract 7001.04, Burlington County, New Jersey",34005700104,140,0,34,5,19,,700104,1921,1921,1063,664,12,28,0,80,74,703,419,230,7,8,0,20,19,703,43,660,703,403,300,755,703,439,264,755,703,52,231,182
Census Tract 7002,"Census Tract 7002, Burlington County, New Jersey",34005700200,140,0,34,5,19,,700200,2779,2779,2596,92,3,21,2,13,52,1057,1001,33,1,4,0,5,13,1057,22,1035,1057,984,73,1112,1057,827,230,1112,1057,55,302,56
Census Tract 7003.03,"Census Tract 7003.03, Burlington County, New Jersey",34005700303,140,0,34,5,19,,700303,2897,2897,2166,514,2,88,0,48,79,1107,857,190,1,28,0,14,17,1107,41,1066,1107,832,275,1187,1107,904,203,1187,1107,80,338,148
Census Tract 7003.04,"Census Tract 7003.04, Burlington County, New Jersey",34005700304,140,0,34,5,19,,700304,2454,2454,2254,88,0,30,3,39,40,881,836,23,0,8,0,9,5,881,19,862,881,826,55,907,881,830,51,907,881,26,204,87
Census Tract 7003.05,"Census Tract 7003.05, Burlington County, New Jersey",34005700305,140,0,34,5,19,,700305,4894,4894,4560,123,5,128,0,15,63,1762,1657,46,1,38,0,5,15,1762,32,1730,1762,1633,129,1832,1762,1695,67,1832,1762,70,383,116
Census Tract 7003.06,"Census Tract 7003.06, Burlington County, New Jersey",34005700306,140,0,34,5,19,,700306,2542,2542,2383,54,2,42,0,38,23,864,822,13,1,13,0,9,6,864,17,847,864,812,52,892,864,837,27,892,864,28,136,68
Census Tract 7003.07,"Census Tract 7003.07, Burlington County, New Jersey",34005700307,140,0,34,5,19,,700307,2782,2782,2568,76,4,82,0,13,39,921,863,23,1,22,0,4,8,921,13,908,921,853,68,940,921,908,13,940,921,19,122,59
Census Tract 7004.01,"Census Tract 7004.01, Burlington County, New Jersey",34005700401,140,0,34,5,19,,700401,2051,2051,1955,21,0,29,1,13,32,783,756,6,0,8,0,4,9,783,14,769,783,748,35,816,783,694,89,816,783,33,246,60
