Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001
"34005700102","14000US34005700102","Census Tract 7001.02, Burlington County, New Jersey","Census Tract 7001.02, Burlington County, New Jersey","nj","140","00","ACSSF","0004103",,,,,"34","005",,,,"700102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80045
"34005700103","14000US34005700103","Census Tract 7001.03, Burlington County, New Jersey","Census Tract 7001.03, Burlington County, New Jersey","nj","140","00","ACSSF","0004104",,,,,"34","005",,,,"700103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65429
"34005700104","14000US34005700104","Census Tract 7001.04, Burlington County, New Jersey","Census Tract 7001.04, Burlington County, New Jersey","nj","140","00","ACSSF","0004105",,,,,"34","005",,,,"700104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47317
"34005700200","14000US34005700200","Census Tract 7002, Burlington County, New Jersey","Census Tract 7002, Burlington County, New Jersey","nj","140","00","ACSSF","0004106",,,,,"34","005",,,,"700200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96848
"34005700303","14000US34005700303","Census Tract 7003.03, Burlington County, New Jersey","Census Tract 7003.03, Burlington County, New Jersey","nj","140","00","ACSSF","0004107",,,,,"34","005",,,,"700303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64250
"34005700304","14000US34005700304","Census Tract 7003.04, Burlington County, New Jersey","Census Tract 7003.04, Burlington County, New Jersey","nj","140","00","ACSSF","0004108",,,,,"34","005",,,,"700304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000
"34005700305","14000US34005700305","Census Tract 7003.05, Burlington County, New Jersey","Census Tract 7003.05, Burlington County, New Jersey","nj","140","00","ACSSF","0004109",,,,,"34","005",,,,"700305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97813
"34005700306","14000US34005700306","Census Tract 7003.06, Burlington County, New Jersey","Census Tract 7003.06, Burlington County, New Jersey","nj","140","00","ACSSF","0004110",,,,,"34","005",,,,"700306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96250
"34005700307","14000US34005700307","Census Tract 7003.07, Burlington County, New Jersey","Census Tract 7003.07, Burlington County, New Jersey","nj","140","00","ACSSF","0004111",,,,,"34","005",,,,"700307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101500
"34005700401","14000US34005700401","Census Tract 7004.01, Burlington County, New Jersey","Census Tract 7004.01, Burlington County, New Jersey","nj","140","00","ACSSF","0004112",,,,,"34","005",,,,"700401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79569
