Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T077_001,SE_T099_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003
"34005700102","Census Tract 7001.02","Census Tract 7001.02, Burlington County, New Jersey","00","34","005","700102",3295,3251,3251,0,0,1028,803,65,11,54,31,129,11634.5086705202,1045,1028,878,150,1045,1028,17
"34005700103","Census Tract 7001.03","Census Tract 7001.03, Burlington County, New Jersey","00","34","005","700103",868.6464,815.6859,627.7235,186.071,1.891446,276.8604,193.8732,25.29808,8.038644,17.25944,21.75162,35.93747,11241.5598290598,282.7711,276.8603,196.001,80.8593,282.7711,276.8603,5.910783
"34005700104","Census Tract 7001.04","Census Tract 7001.04, Burlington County, New Jersey","00","34","005","700104",2805.354,2634.314,2027.277,600.9291,6.108555,894.1397,626.1269,81.70192,25.96136,55.74056,70.24838,116.0625,11241.5598290598,913.2289,894.1398,632.999,261.1407,913.2289,894.1398,19.0892
"34005700200","Census Tract 7002","Census Tract 7002, Burlington County, New Jersey","00","34","005","700200",3412,3359,3231,117,11,1052,756,109,28,81,56,131,13956.9239500568,1081,1052,800,252,1081,1052,29
"34005700303","Census Tract 7003.03","Census Tract 7003.03, Burlington County, New Jersey","00","34","005","700303",2792,2759,2069,680,10,730,594,77,14,63,23,36,15738.9639639639,730,730,276,53,730,730,0
"34005700304","Census Tract 7003.04","Census Tract 7003.04, Burlington County, New Jersey","00","34","005","700304",3152,3146,3072,74,0,854,735,46,24,22,36,37,12568.2051282051,878,854,792,62,878,854,24
"34005700305","Census Tract 7003.05","Census Tract 7003.05, Burlington County, New Jersey","00","34","005","700305",4255.619,4202.915,4047.855,107.0599,48,1015.727,923.5587,52.65886,12.20964,40.44923,23.13477,16.37436,17171.8918116102,1026.802,1015.727,975.978,39.74871,1026.802,1015.727,11.07479
"34005700306","Census Tract 7003.06","Census Tract 7003.06, Burlington County, New Jersey","00","34","005","700306",3484.781,3426.291,3347.278,28.732,50.281,812.1921,759.8588,26.67971,9.235286,17.44443,10.7745,14.87907,17881.5189048241,821.9404,812.1921,0,0,821.9404,812.1921,9.748369
"34005700307","Census Tract 7003.07","Census Tract 7003.07, Burlington County, New Jersey","00","34","005","700307",3307.219,3251.709,3176.722,27.268,47.719,770.8079,721.1412,25.32029,8.764714,16.55557,10.2255,14.12093,17881.518904824,780.0595,770.8079,0,0,780.0595,770.8079,9.251608
"34005700401","Census Tract 7004.01","Census Tract 7004.01, Burlington County, New Jersey","00","34","005","700401",2377,2360,2320,22,18,675,558,49,19,30,28,40,11264.2036124795,681,675,607,68,681,675,6
"34005700402","Census Tract 7004.02","Census Tract 7004.02, Burlington County, New Jersey","00","34","005","700402",4170,4164,4150,0,14,1232,1020,84,27,57,57,71,10899.7704315886,1237,1232,1174,58,1237,1232,5
"34005700403","Census Tract 7004.03","Census Tract 7004.03, Burlington County, New Jersey","00","34","005","700403",5012,4908,4861,0,47,1543,1105,193,44,149,74,171,11231.3622754491,1566,1543,1251,292,1566,1543,23
"34005700405","Census Tract 7004.05","Census Tract 7004.05, Burlington County, New Jersey","00","34","005","700405",1119.458,1093.583,1083.737,5.266419,4.579495,431.1595,307.2841,23.5844,4.80847,18.77593,55.86984,44.4211,12077.6483050847,456.1177,431.1595,142.1933,288.9661,456.1177,431.1595,24.95826
"34005700407","Census Tract 7004.07","Census Tract 7004.07, Burlington County, New Jersey","00","34","005","700407",2599.159,2539.085,2516.225,12.22759,10.63268,1001.067,713.4531,54.75832,11.16432,43.594,129.7187,103.137,12077.6483050848,1059.015,1001.067,330.1448,670.9224,1059.015,1001.067,57.94813
"34005700408","Census Tract 7004.08","Census Tract 7004.08, Burlington County, New Jersey","00","34","005","700408",1170.538,1143.483,1133.188,5.5067,4.788255,450.8093,321.2964,24.65847,5.027619,19.63086,58.41196,46.44255,12078.1639301909,476.9033,450.8093,148.6965,302.1129,476.9033,450.8093,26.09397
"34005700501","Census Tract 7005.01","Census Tract 7005.01, Burlington County, New Jersey","00","34","005","700501",5915,5756,5677,6,73,1881,1486,138,21,117,58,199,18000.7020757021,1912,1881,1444,437,1912,1881,31
