"","g_yr","g_id","g_st","g_cy","t_p","t_p_wh","t_p_bl","t_p_na","t_p_as","t_p_nh","t_p_or","t_p_mr","I","t_h","t_h_wh","t_h_bl","t_h_na","t_h_as","t_h_nh","t_h_or","t_h_mr","t_h_hi","t_h_n_hi","t_h_wa","t_h_nw","t_h_nf","t_u","t_u_oc","t_u_vc","t_u_oc_ro","t_u_oc_oo"
"1","2010",34005700102,34,5,2638,2420,109,4,32,3,24,46,80045,1052,983,45,1,7,2,6,8,17,1035,974,78,315,1118,1052,66,175,877
"2","2010",34005700103,34,5,2839,2343,303,7,76,3,40,67,65429,1401,1190,141,5,33,2,16,14,56,1345,1156,245,672,1519,1401,118,375,1026
"3","2010",34005700104,34,5,1921,1063,664,12,28,0,80,74,47317,703,419,230,7,8,0,20,19,43,660,403,300,231,755,703,52,264,439
"4","2010",34005700200,34,5,2779,2596,92,3,21,2,13,52,96848,1057,1001,33,1,4,0,5,13,22,1035,984,73,302,1112,1057,55,230,827
"5","2010",34005700303,34,5,2897,2166,514,2,88,0,48,79,64250,1107,857,190,1,28,0,14,17,41,1066,832,275,338,1187,1107,80,203,904
"6","2010",34005700304,34,5,2454,2254,88,0,30,3,39,40,85000,881,836,23,0,8,0,9,5,19,862,826,55,204,907,881,26,51,830
"7","2010",34005700305,34,5,4894,4560,123,5,128,0,15,63,97813,1762,1657,46,1,38,0,5,15,32,1730,1633,129,383,1832,1762,70,67,1695
"8","2010",34005700306,34,5,2542,2383,54,2,42,0,38,23,96250,864,822,13,1,13,0,9,6,17,847,812,52,136,892,864,28,27,837
"9","2010",34005700307,34,5,2782,2568,76,4,82,0,13,39,101500,921,863,23,1,22,0,4,8,13,908,853,68,122,940,921,19,13,908
"10","2010",34005700401,34,5,2051,1955,21,0,29,1,13,32,79569,783,756,6,0,8,0,4,9,14,769,748,35,246,816,783,33,89,694
"11","2010",34005700402,34,5,3345,3126,81,4,44,0,32,58,78917,1283,1233,11,2,11,0,10,16,37,1246,1208,75,368,1323,1283,40,101,1182
"12","2010",34005700403,34,5,4438,4087,139,1,96,1,64,50,60694,1676,1584,36,1,21,0,19,15,57,1619,1551,125,587,1763,1676,87,445,1231
"13","2010",34005700405,34,5,1643,1513,35,1,43,0,23,28,67094,668,622,17,1,15,0,8,5,17,651,613,55,228,694,668,26,136,532
"14","2010",34005700407,34,5,5529,2872,1253,21,648,2,410,323,50266,2819,1645,626,9,254,2,142,141,349,2470,1502,1317,1574,3139,2819,320,2480,339
"15","2010",34005700408,34,5,2125,1487,297,4,220,1,59,57,39745,1296,961,177,3,99,1,28,27,78,1218,920,376,864,1451,1296,155,1135,161
"16","2010",34005700501,34,5,5483,4625,428,6,219,2,61,142,90855,2133,1855,159,4,62,2,18,33,62,2071,1822,311,590,2228,2133,95,578,1555
"17","2010",34005700502,34,5,2215,1970,87,2,83,0,35,38,88125,816,745,31,1,24,0,8,7,27,789,724,92,231,860,816,44,175,641
"18","2010",34005700503,34,5,3713,2976,473,8,91,2,34,129,118676,1341,1069,198,2,28,1,9,34,46,1295,1040,301,296,1402,1341,61,230,1111
"19","2010",34005700504,34,5,3136,2813,196,0,61,1,17,48,97143,1130,1032,71,0,14,0,5,8,25,1105,1013,117,329,1219,1130,89,311,819
"20","2010",34005700505,34,5,6179,5129,147,2,790,0,21,90,228000,2030,1755,53,0,212,0,2,8,33,1997,1725,305,380,2153,2030,123,262,1768
"21","2010",34005700602,34,5,6505,5226,565,10,412,5,104,183,94167,2316,1937,194,4,118,2,26,35,72,2244,1892,424,579,2389,2316,73,176,2140
"22","2010",34005700603,34,5,5621,4232,761,14,172,1,270,171,71980,2120,1587,335,4,55,1,95,43,112,2008,1539,581,605,2296,2120,176,852,1268
"23","2010",34005700605,34,5,4770,4230,290,9,99,1,85,56,87656,1712,1514,127,5,26,0,28,12,37,1675,1490,222,330,1757,1712,45,361,1351
"24","2010",34005700701,34,5,3205,2654,148,13,28,0,168,194,66307,1222,1055,49,3,7,0,51,57,69,1153,1031,191,391,1259,1222,37,346,876
"25","2010",34005700702,34,5,2451,1892,186,7,31,0,216,119,53934,886,732,64,2,10,0,57,21,79,807,694,192,288,961,886,75,375,511
"26","2010",34005700703,34,5,2423,1934,182,1,18,4,185,99,55929,851,709,63,0,6,1,47,25,67,784,677,174,253,927,851,76,297,554
"27","2010",34005700800,34,5,4283,3546,470,20,80,5,40,122,81531,1755,1493,197,5,25,1,10,24,47,1708,1464,291,514,1853,1755,98,309,1446
"28","2010",34005700900,34,5,2577,1589,770,4,20,0,69,125,53112,1002,664,284,3,6,0,17,28,57,945,638,364,331,1086,1002,84,316,686
"29","2010",34005701001,34,5,4862,2822,1364,19,153,2,244,258,48393,2288,1375,672,8,49,1,79,104,188,2100,1299,989,1029,2484,2288,196,1083,1205
"30","2010",34005701002,34,5,4019,2303,1062,11,130,0,333,180,76750,1395,870,360,3,32,0,90,40,104,1291,835,560,330,1442,1395,47,328,1067
"31","2010",34005701102,34,5,5516,3675,1224,9,331,1,94,182,90795,1917,1278,479,4,94,1,27,34,96,1821,1223,694,607,1988,1917,71,371,1546
"32","2010",34005701103,34,5,6371,3684,1789,6,490,1,146,255,105744,2075,1219,627,2,129,1,42,55,112,1963,1166,909,388,2125,2075,50,277,1798
"33","2010",34005701104,34,5,4556,2591,1299,9,333,5,177,142,52813,1708,996,524,3,81,2,60,42,99,1609,954,754,486,1785,1708,77,585,1123
"34","2010",34005701105,34,5,6151,3381,2010,11,436,2,127,184,84435,2097,1248,646,3,109,1,40,50,121,1976,1191,906,571,2207,2097,110,450,1647
"35","2010",34005701201,34,5,2967,1906,862,2,64,0,47,86,71083,1131,785,297,0,19,0,12,18,46,1085,761,370,334,1193,1131,62,206,925
"36","2010",34005701203,34,5,1857,1309,419,5,46,3,31,44,58958,752,544,177,1,14,1,8,7,34,718,522,230,252,788,752,36,263,489
"37","2010",34005701204,34,5,2818,1023,1521,5,41,0,78,150,45024,1048,484,501,2,11,0,18,32,45,1003,474,574,462,1203,1048,155,669,379
"38","2010",34005701205,34,5,2278,1607,470,6,50,1,71,73,43040,927,683,188,2,12,0,22,20,46,881,665,262,373,1039,927,112,332,595
"39","2010",34005701301,34,5,4426,3284,746,7,127,2,72,188,67348,1857,1448,298,1,43,1,25,41,58,1799,1426,431,691,1998,1857,141,560,1297
